Beach,Date,Reading,Prediction,SwimStatus
Montrose-Beach,09/06/2015,0.0,76.1,No Restrictions
Montrose-Beach,09/07/2015,0.0,94.0,No Restrictions
Foster-Beach,05/22/2015,9.0,15.6,No Restrictions
Foster-Beach,05/23/2015,5.0,12.9,No Restrictions
Foster-Beach,05/24/2015,0.0,22.2,No Restrictions
Foster-Beach,05/25/2015,0.0,51.8,No Restrictions
Foster-Beach,05/26/2015,42.0,16.8,No Restrictions
Foster-Beach,05/27/2015,62.0,8.9,No Restrictions
Foster-Beach,05/28/2015,7.0,7.4,No Restrictions
Foster-Beach,05/29/2015,8.0,12.0,No Restrictions
Foster-Beach,05/30/2015,0.0,30.0,Swim Ban
Foster-Beach,05/31/2015,0.0,125.4,Swim Ban
Foster-Beach,06/01/2015,64.0,59.2,Swim Advisory
Foster-Beach,06/02/2015,51.0,15.6,No Restrictions
Foster-Beach,06/03/2015,11.0,11.9,No Restrictions
Foster-Beach,06/04/2015,12.0,12.7,No Restrictions
Foster-Beach,06/05/2015,38.0,33.6,Swim Advisory
Foster-Beach,06/06/2015,0.0,30.0,Swim Advisory
Foster-Beach,06/07/2015,0.0,14.0,No Restrictions
Foster-Beach,06/08/2015,53.0,19.9,Swim Ban
Foster-Beach,06/09/2015,25.0,29.2,No Restrictions
Foster-Beach,06/10/2015,14.0,4.8,No Restrictions
Foster-Beach,06/11/2015,369.0,20.3,No Restrictions
Foster-Beach,06/12/2015,35.0,39.4,Swim Advisory
Foster-Beach,06/13/2015,0.0,28.9,Swim Advisory
Foster-Beach,06/14/2015,0.0,28.9,No Restrictions
Foster-Beach,06/15/2015,7.0,13.1,Swim Ban
Foster-Beach,06/16/2015,45.0,70.1,Swim Ban
Foster-Beach,06/17/2015,223.0,36.2,No Restrictions
Foster-Beach,06/18/2015,17.0,26.8,No Restrictions
Foster-Beach,06/19/2015,14.0,38.5,Swim Advisory
Foster-Beach,06/20/2015,0.0,33.6,No Restrictions
Foster-Beach,06/21/2015,0.0,24.1,No Restrictions
Foster-Beach,06/22/2015,78.0,11.0,Swim Ban
Foster-Beach,06/23/2015,101.0,13.9,No Restrictions
Foster-Beach,06/24/2015,13.0,19.8,No Restrictions
Foster-Beach,06/25/2015,9.0,85.0,No Restrictions
Foster-Beach,06/26/2015,175.0,43.9,Swim Advisory
Foster-Beach,06/27/2015,0.0,46.5,Swim Advisory
Foster-Beach,06/28/2015,0.0,13.3,No Restrictions
Foster-Beach,06/29/2015,2.0,37.7,No Restrictions
Foster-Beach,06/30/2015,18.0,18.7,No Restrictions
Foster-Beach,07/01/2015,42.0,44.7,No Restrictions
Foster-Beach,07/02/2015,11.0,43.1,Swim Advisory
Foster-Beach,07/03/2015,0.0,33.5,No Restrictions
Foster-Beach,07/04/2015,0.0,15.5,No Restrictions
Foster-Beach,07/05/2015,0.0,15.3,No Restrictions
Foster-Beach,07/06/2015,35.0,17.1,Swim Advisory
Foster-Beach,07/07/2015,669.0,117.5,Swim Advisory
Foster-Beach,07/08/2015,154.0,43.9,Swim Advisory
Foster-Beach,07/09/2015,78.0,55.4,Swim Advisory
Foster-Beach,07/10/2015,32.0,41.1,No Restrictions
Foster-Beach,07/11/2015,0.0,18.6,No Restrictions
Foster-Beach,07/12/2015,0.0,40.2,No Restrictions
Foster-Beach,07/13/2015,1046.0,61.0,No Restrictions
Foster-Beach,07/14/2015,220.0,15.9,Swim Advisory
Foster-Beach,07/15/2015,286.0,37.5,Swim Advisory
Foster-Beach,07/16/2015,64.0,39.8,Swim Advisory
Foster-Beach,07/17/2015,27.0,25.8,No Restrictions
Foster-Beach,07/18/2015,0.0,13.6,No Restrictions
