Date,beach,Beach_Name
5/1/2016,57th Street,57th
5/2/2016,57th Street,57th
5/3/2016,57th Street,57th
5/4/2016,57th Street,57th
5/5/2016,57th Street,57th
5/6/2016,57th Street,57th
5/7/2016,57th Street,57th
5/8/2016,57th Street,57th
5/9/2016,57th Street,57th
5/10/2016,57th Street,57th
5/11/2016,57th Street,57th
5/12/2016,57th Street,57th
5/13/2016,57th Street,57th
5/14/2016,57th Street,57th
5/15/2016,57th Street,57th
5/16/2016,57th Street,57th
5/17/2016,57th Street,57th
5/18/2016,57th Street,57th
5/19/2016,57th Street,57th
5/20/2016,57th Street,57th
5/21/2016,57th Street,57th
5/22/2016,57th Street,57th
5/23/2016,57th Street,57th
5/24/2016,57th Street,57th
5/25/2016,57th Street,57th
5/26/2016,57th Street,57th
5/27/2016,57th Street,57th
5/28/2016,57th Street,57th
5/29/2016,57th Street,57th
5/30/2016,57th Street,57th
5/31/2016,57th Street,57th
6/1/2016,57th Street,57th
6/2/2016,57th Street,57th
6/3/2016,57th Street,57th
6/4/2016,57th Street,57th
6/5/2016,57th Street,57th
6/6/2016,57th Street,57th
6/7/2016,57th Street,57th
6/8/2016,57th Street,57th
6/9/2016,57th Street,57th
6/10/2016,57th Street,57th
6/11/2016,57th Street,57th
6/12/2016,57th Street,57th
6/13/2016,57th Street,57th
6/14/2016,57th Street,57th
6/15/2016,57th Street,57th
6/16/2016,57th Street,57th
6/17/2016,57th Street,57th
6/18/2016,57th Street,57th
6/19/2016,57th Street,57th
6/20/2016,57th Street,57th
6/21/2016,57th Street,57th
6/22/2016,57th Street,57th
6/23/2016,57th Street,57th
6/24/2016,57th Street,57th
6/25/2016,57th Street,57th
6/26/2016,57th Street,57th
6/27/2016,57th Street,57th
6/28/2016,57th Street,57th
6/29/2016,57th Street,57th
6/30/2016,57th Street,57th
7/1/2016,57th Street,57th
7/2/2016,57th Street,57th
7/3/2016,57th Street,57th
7/4/2016,57th Street,57th
7/5/2016,57th Street,57th
7/6/2016,57th Street,57th
7/7/2016,57th Street,57th
7/8/2016,57th Street,57th
7/9/2016,57th Street,57th
7/10/2016,57th Street,57th
7/11/2016,57th Street,57th
7/12/2016,57th Street,57th
7/13/2016,57th Street,57th
7/14/2016,57th Street,57th
7/15/2016,57th Street,57th
7/16/2016,57th Street,57th
7/17/2016,57th Street,57th
7/18/2016,57th Street,57th
7/19/2016,57th Street,57th
7/20/2016,57th Street,57th
7/21/2016,57th Street,57th
7/22/2016,57th Street,57th
7/23/2016,57th Street,57th
7/24/2016,57th Street,57th
7/25/2016,57th Street,57th
7/26/2016,57th Street,57th
7/27/2016,57th Street,57th
7/28/2016,57th Street,57th
7/29/2016,57th Street,57th
7/30/2016,57th Street,57th
7/31/2016,57th Street,57th
8/1/2016,57th Street,57th
8/2/2016,57th Street,57th
8/3/2016,57th Street,57th
8/4/2016,57th Street,57th
8/5/2016,57th Street,57th
8/6/2016,57th Street,57th
8/7/2016,57th Street,57th
8/8/2016,57th Street,57th
8/9/2016,57th Street,57th
8/10/2016,57th Street,57th
8/11/2016,57th Street,57th
8/12/2016,57th Street,57th
8/13/2016,57th Street,57th
8/14/2016,57th Street,57th
8/15/2016,57th Street,57th
8/16/2016,57th Street,57th
8/17/2016,57th Street,57th
8/18/2016,57th Street,57th
8/19/2016,57th Street,57th
8/20/2016,57th Street,57th
8/21/2016,57th Street,57th
8/22/2016,57th Street,57th
8/23/2016,57th Street,57th
8/24/2016,57th Street,57th
8/25/2016,57th Street,57th
8/26/2016,57th Street,57th
8/27/2016,57th Street,57th
8/28/2016,57th Street,57th
8/29/2016,57th Street,57th
8/30/2016,57th Street,57th
8/31/2016,57th Street,57th
9/1/2016,57th Street,57th
9/2/2016,57th Street,57th
9/3/2016,57th Street,57th
9/4/2016,57th Street,57th
9/5/2016,57th Street,57th
9/6/2016,57th Street,57th
9/7/2016,57th Street,57th
9/8/2016,57th Street,57th
9/9/2016,57th Street,57th
9/10/2016,57th Street,57th
9/11/2016,57th Street,57th
9/12/2016,57th Street,57th
9/13/2016,57th Street,57th
9/14/2016,57th Street,57th
9/15/2016,57th Street,57th
9/16/2016,57th Street,57th
9/17/2016,57th Street,57th
9/18/2016,57th Street,57th
9/19/2016,57th Street,57th
9/20/2016,57th Street,57th
9/21/2016,57th Street,57th
9/22/2016,57th Street,57th
9/23/2016,57th Street,57th
9/24/2016,57th Street,57th
9/25/2016,57th Street,57th
9/26/2016,57th Street,57th
9/27/2016,57th Street,57th
9/28/2016,57th Street,57th
9/29/2016,57th Street,57th
9/30/2016,57th Street,57th
5/1/2016,North Avenue,North Avenue
5/2/2016,North Avenue,North Avenue
5/3/2016,North Avenue,North Avenue
5/4/2016,North Avenue,North Avenue
5/5/2016,North Avenue,North Avenue
5/6/2016,North Avenue,North Avenue
5/7/2016,North Avenue,North Avenue
5/8/2016,North Avenue,North Avenue
5/9/2016,North Avenue,North Avenue
5/10/2016,North Avenue,North Avenue
5/11/2016,North Avenue,North Avenue
5/12/2016,North Avenue,North Avenue
5/13/2016,North Avenue,North Avenue
5/14/2016,North Avenue,North Avenue
5/15/2016,North Avenue,North Avenue
5/16/2016,North Avenue,North Avenue
5/17/2016,North Avenue,North Avenue
5/18/2016,North Avenue,North Avenue
5/19/2016,North Avenue,North Avenue
5/20/2016,North Avenue,North Avenue
5/21/2016,North Avenue,North Avenue
5/22/2016,North Avenue,North Avenue
5/23/2016,North Avenue,North Avenue
5/24/2016,North Avenue,North Avenue
5/25/2016,North Avenue,North Avenue
5/26/2016,North Avenue,North Avenue
5/27/2016,North Avenue,North Avenue
5/28/2016,North Avenue,North Avenue
5/29/2016,North Avenue,North Avenue
5/30/2016,North Avenue,North Avenue
5/31/2016,North Avenue,North Avenue
6/1/2016,North Avenue,North Avenue
6/2/2016,North Avenue,North Avenue
6/3/2016,North Avenue,North Avenue
6/4/2016,North Avenue,North Avenue
6/5/2016,North Avenue,North Avenue
6/6/2016,North Avenue,North Avenue
6/7/2016,North Avenue,North Avenue
6/8/2016,North Avenue,North Avenue
6/9/2016,North Avenue,North Avenue
6/10/2016,North Avenue,North Avenue
6/11/2016,North Avenue,North Avenue
6/12/2016,North Avenue,North Avenue
6/13/2016,North Avenue,North Avenue
6/14/2016,North Avenue,North Avenue
6/15/2016,North Avenue,North Avenue
6/16/2016,North Avenue,North Avenue
6/17/2016,North Avenue,North Avenue
6/18/2016,North Avenue,North Avenue
6/19/2016,North Avenue,North Avenue
6/20/2016,North Avenue,North Avenue
6/21/2016,North Avenue,North Avenue
6/22/2016,North Avenue,North Avenue
6/23/2016,North Avenue,North Avenue
6/24/2016,North Avenue,North Avenue
6/25/2016,North Avenue,North Avenue
6/26/2016,North Avenue,North Avenue
6/27/2016,North Avenue,North Avenue
6/28/2016,North Avenue,North Avenue
6/29/2016,North Avenue,North Avenue
6/30/2016,North Avenue,North Avenue
7/1/2016,North Avenue,North Avenue
7/2/2016,North Avenue,North Avenue
7/3/2016,North Avenue,North Avenue
7/4/2016,North Avenue,North Avenue
7/5/2016,North Avenue,North Avenue
7/6/2016,North Avenue,North Avenue
7/7/2016,North Avenue,North Avenue
7/8/2016,North Avenue,North Avenue
7/9/2016,North Avenue,North Avenue
7/10/2016,North Avenue,North Avenue
7/11/2016,North Avenue,North Avenue
7/12/2016,North Avenue,North Avenue
7/13/2016,North Avenue,North Avenue
7/14/2016,North Avenue,North Avenue
7/15/2016,North Avenue,North Avenue
7/16/2016,North Avenue,North Avenue
7/17/2016,North Avenue,North Avenue
7/18/2016,North Avenue,North Avenue
7/19/2016,North Avenue,North Avenue
7/20/2016,North Avenue,North Avenue
7/21/2016,North Avenue,North Avenue
7/22/2016,North Avenue,North Avenue
7/23/2016,North Avenue,North Avenue
7/24/2016,North Avenue,North Avenue
7/25/2016,North Avenue,North Avenue
7/26/2016,North Avenue,North Avenue
7/27/2016,North Avenue,North Avenue
7/28/2016,North Avenue,North Avenue
7/29/2016,North Avenue,North Avenue
7/30/2016,North Avenue,North Avenue
7/31/2016,North Avenue,North Avenue
8/1/2016,North Avenue,North Avenue
8/2/2016,North Avenue,North Avenue
8/3/2016,North Avenue,North Avenue
8/4/2016,North Avenue,North Avenue
8/5/2016,North Avenue,North Avenue
8/6/2016,North Avenue,North Avenue
8/7/2016,North Avenue,North Avenue
8/8/2016,North Avenue,North Avenue
8/9/2016,North Avenue,North Avenue
8/10/2016,North Avenue,North Avenue
8/11/2016,North Avenue,North Avenue
8/12/2016,North Avenue,North Avenue
8/13/2016,North Avenue,North Avenue
8/14/2016,North Avenue,North Avenue
8/15/2016,North Avenue,North Avenue
8/16/2016,North Avenue,North Avenue
8/17/2016,North Avenue,North Avenue
8/18/2016,North Avenue,North Avenue
8/19/2016,North Avenue,North Avenue
8/20/2016,North Avenue,North Avenue
8/21/2016,North Avenue,North Avenue
8/22/2016,North Avenue,North Avenue
8/23/2016,North Avenue,North Avenue
8/24/2016,North Avenue,North Avenue
8/25/2016,North Avenue,North Avenue
8/26/2016,North Avenue,North Avenue
8/27/2016,North Avenue,North Avenue
8/28/2016,North Avenue,North Avenue
8/29/2016,North Avenue,North Avenue
8/30/2016,North Avenue,North Avenue
8/31/2016,North Avenue,North Avenue
9/1/2016,North Avenue,North Avenue
9/2/2016,North Avenue,North Avenue
9/3/2016,North Avenue,North Avenue
9/4/2016,North Avenue,North Avenue
9/5/2016,North Avenue,North Avenue
9/6/2016,North Avenue,North Avenue
9/7/2016,North Avenue,North Avenue
9/8/2016,North Avenue,North Avenue
9/9/2016,North Avenue,North Avenue
9/10/2016,North Avenue,North Avenue
9/11/2016,North Avenue,North Avenue
9/12/2016,North Avenue,North Avenue
9/13/2016,North Avenue,North Avenue
9/14/2016,North Avenue,North Avenue
9/15/2016,North Avenue,North Avenue
9/16/2016,North Avenue,North Avenue
9/17/2016,North Avenue,North Avenue
9/18/2016,North Avenue,North Avenue
9/19/2016,North Avenue,North Avenue
9/20/2016,North Avenue,North Avenue
9/21/2016,North Avenue,North Avenue
9/22/2016,North Avenue,North Avenue
9/23/2016,North Avenue,North Avenue
9/24/2016,North Avenue,North Avenue
9/25/2016,North Avenue,North Avenue
9/26/2016,North Avenue,North Avenue
9/27/2016,North Avenue,North Avenue
9/28/2016,North Avenue,North Avenue
9/29/2016,North Avenue,North Avenue
9/30/2016,North Avenue,North Avenue
5/1/2016,Montrose,Montrose
5/2/2016,Montrose,Montrose
5/3/2016,Montrose,Montrose
5/4/2016,Montrose,Montrose
5/5/2016,Montrose,Montrose
5/6/2016,Montrose,Montrose
5/7/2016,Montrose,Montrose
5/8/2016,Montrose,Montrose
5/9/2016,Montrose,Montrose
5/10/2016,Montrose,Montrose
5/11/2016,Montrose,Montrose
5/12/2016,Montrose,Montrose
5/13/2016,Montrose,Montrose
5/14/2016,Montrose,Montrose
5/15/2016,Montrose,Montrose
5/16/2016,Montrose,Montrose
5/17/2016,Montrose,Montrose
5/18/2016,Montrose,Montrose
5/19/2016,Montrose,Montrose
5/20/2016,Montrose,Montrose
5/21/2016,Montrose,Montrose
5/22/2016,Montrose,Montrose
5/23/2016,Montrose,Montrose
5/24/2016,Montrose,Montrose
5/25/2016,Montrose,Montrose
5/26/2016,Montrose,Montrose
5/27/2016,Montrose,Montrose
5/28/2016,Montrose,Montrose
5/29/2016,Montrose,Montrose
5/30/2016,Montrose,Montrose
5/31/2016,Montrose,Montrose
6/1/2016,Montrose,Montrose
6/2/2016,Montrose,Montrose
6/3/2016,Montrose,Montrose
6/4/2016,Montrose,Montrose
6/5/2016,Montrose,Montrose
6/6/2016,Montrose,Montrose
6/7/2016,Montrose,Montrose
6/8/2016,Montrose,Montrose
6/9/2016,Montrose,Montrose
6/10/2016,Montrose,Montrose
6/11/2016,Montrose,Montrose
6/12/2016,Montrose,Montrose
6/13/2016,Montrose,Montrose
6/14/2016,Montrose,Montrose
6/15/2016,Montrose,Montrose
6/16/2016,Montrose,Montrose
6/17/2016,Montrose,Montrose
6/18/2016,Montrose,Montrose
6/19/2016,Montrose,Montrose
6/20/2016,Montrose,Montrose
6/21/2016,Montrose,Montrose
6/22/2016,Montrose,Montrose
6/23/2016,Montrose,Montrose
6/24/2016,Montrose,Montrose
6/25/2016,Montrose,Montrose
6/26/2016,Montrose,Montrose
6/27/2016,Montrose,Montrose
6/28/2016,Montrose,Montrose
6/29/2016,Montrose,Montrose
6/30/2016,Montrose,Montrose
7/1/2016,Montrose,Montrose
7/2/2016,Montrose,Montrose
7/3/2016,Montrose,Montrose
7/4/2016,Montrose,Montrose
7/5/2016,Montrose,Montrose
7/6/2016,Montrose,Montrose
7/7/2016,Montrose,Montrose
7/8/2016,Montrose,Montrose
7/9/2016,Montrose,Montrose
7/10/2016,Montrose,Montrose
7/11/2016,Montrose,Montrose
7/12/2016,Montrose,Montrose
7/13/2016,Montrose,Montrose
7/14/2016,Montrose,Montrose
7/15/2016,Montrose,Montrose
7/16/2016,Montrose,Montrose
7/17/2016,Montrose,Montrose
7/18/2016,Montrose,Montrose
7/19/2016,Montrose,Montrose
7/20/2016,Montrose,Montrose
7/21/2016,Montrose,Montrose
7/22/2016,Montrose,Montrose
7/23/2016,Montrose,Montrose
7/24/2016,Montrose,Montrose
7/25/2016,Montrose,Montrose
7/26/2016,Montrose,Montrose
7/27/2016,Montrose,Montrose
7/28/2016,Montrose,Montrose
7/29/2016,Montrose,Montrose
7/30/2016,Montrose,Montrose
7/31/2016,Montrose,Montrose
8/1/2016,Montrose,Montrose
8/2/2016,Montrose,Montrose
8/3/2016,Montrose,Montrose
8/4/2016,Montrose,Montrose
8/5/2016,Montrose,Montrose
8/6/2016,Montrose,Montrose
8/7/2016,Montrose,Montrose
8/8/2016,Montrose,Montrose
8/9/2016,Montrose,Montrose
8/10/2016,Montrose,Montrose
8/11/2016,Montrose,Montrose
8/12/2016,Montrose,Montrose
8/13/2016,Montrose,Montrose
8/14/2016,Montrose,Montrose
8/15/2016,Montrose,Montrose
8/16/2016,Montrose,Montrose
8/17/2016,Montrose,Montrose
8/18/2016,Montrose,Montrose
8/19/2016,Montrose,Montrose
8/20/2016,Montrose,Montrose
8/21/2016,Montrose,Montrose
8/22/2016,Montrose,Montrose
8/23/2016,Montrose,Montrose
8/24/2016,Montrose,Montrose
8/25/2016,Montrose,Montrose
8/26/2016,Montrose,Montrose
8/27/2016,Montrose,Montrose
8/28/2016,Montrose,Montrose
8/29/2016,Montrose,Montrose
8/30/2016,Montrose,Montrose
8/31/2016,Montrose,Montrose
9/1/2016,Montrose,Montrose
9/2/2016,Montrose,Montrose
9/3/2016,Montrose,Montrose
9/4/2016,Montrose,Montrose
9/5/2016,Montrose,Montrose
9/6/2016,Montrose,Montrose
9/7/2016,Montrose,Montrose
9/8/2016,Montrose,Montrose
9/9/2016,Montrose,Montrose
9/10/2016,Montrose,Montrose
9/11/2016,Montrose,Montrose
9/12/2016,Montrose,Montrose
9/13/2016,Montrose,Montrose
9/14/2016,Montrose,Montrose
9/15/2016,Montrose,Montrose
9/16/2016,Montrose,Montrose
9/17/2016,Montrose,Montrose
9/18/2016,Montrose,Montrose
9/19/2016,Montrose,Montrose
9/20/2016,Montrose,Montrose
9/21/2016,Montrose,Montrose
9/22/2016,Montrose,Montrose
9/23/2016,Montrose,Montrose
9/24/2016,Montrose,Montrose
9/25/2016,Montrose,Montrose
9/26/2016,Montrose,Montrose
9/27/2016,Montrose,Montrose
9/28/2016,Montrose,Montrose
9/29/2016,Montrose,Montrose
9/30/2016,Montrose,Montrose
5/1/2016,Rainbow,Rainbow
5/2/2016,Rainbow,Rainbow
5/3/2016,Rainbow,Rainbow
5/4/2016,Rainbow,Rainbow
5/5/2016,Rainbow,Rainbow
5/6/2016,Rainbow,Rainbow
5/7/2016,Rainbow,Rainbow
5/8/2016,Rainbow,Rainbow
5/9/2016,Rainbow,Rainbow
5/10/2016,Rainbow,Rainbow
5/11/2016,Rainbow,Rainbow
5/12/2016,Rainbow,Rainbow
5/13/2016,Rainbow,Rainbow
5/14/2016,Rainbow,Rainbow
5/15/2016,Rainbow,Rainbow
5/16/2016,Rainbow,Rainbow
5/17/2016,Rainbow,Rainbow
5/18/2016,Rainbow,Rainbow
5/19/2016,Rainbow,Rainbow
5/20/2016,Rainbow,Rainbow
5/21/2016,Rainbow,Rainbow
5/22/2016,Rainbow,Rainbow
5/23/2016,Rainbow,Rainbow
5/24/2016,Rainbow,Rainbow
5/25/2016,Rainbow,Rainbow
5/26/2016,Rainbow,Rainbow
5/27/2016,Rainbow,Rainbow
5/28/2016,Rainbow,Rainbow
5/29/2016,Rainbow,Rainbow
5/30/2016,Rainbow,Rainbow
5/31/2016,Rainbow,Rainbow
6/1/2016,Rainbow,Rainbow
6/2/2016,Rainbow,Rainbow
6/3/2016,Rainbow,Rainbow
6/4/2016,Rainbow,Rainbow
6/5/2016,Rainbow,Rainbow
6/6/2016,Rainbow,Rainbow
6/7/2016,Rainbow,Rainbow
6/8/2016,Rainbow,Rainbow
6/9/2016,Rainbow,Rainbow
6/10/2016,Rainbow,Rainbow
6/11/2016,Rainbow,Rainbow
6/12/2016,Rainbow,Rainbow
6/13/2016,Rainbow,Rainbow
6/14/2016,Rainbow,Rainbow
6/15/2016,Rainbow,Rainbow
6/16/2016,Rainbow,Rainbow
6/17/2016,Rainbow,Rainbow
6/18/2016,Rainbow,Rainbow
6/19/2016,Rainbow,Rainbow
6/20/2016,Rainbow,Rainbow
6/21/2016,Rainbow,Rainbow
6/22/2016,Rainbow,Rainbow
6/23/2016,Rainbow,Rainbow
6/24/2016,Rainbow,Rainbow
6/25/2016,Rainbow,Rainbow
6/26/2016,Rainbow,Rainbow
6/27/2016,Rainbow,Rainbow
6/28/2016,Rainbow,Rainbow
6/29/2016,Rainbow,Rainbow
6/30/2016,Rainbow,Rainbow
7/1/2016,Rainbow,Rainbow
7/2/2016,Rainbow,Rainbow
7/3/2016,Rainbow,Rainbow
7/4/2016,Rainbow,Rainbow
7/5/2016,Rainbow,Rainbow
7/6/2016,Rainbow,Rainbow
7/7/2016,Rainbow,Rainbow
7/8/2016,Rainbow,Rainbow
7/9/2016,Rainbow,Rainbow
7/10/2016,Rainbow,Rainbow
7/11/2016,Rainbow,Rainbow
7/12/2016,Rainbow,Rainbow
7/13/2016,Rainbow,Rainbow
7/14/2016,Rainbow,Rainbow
7/15/2016,Rainbow,Rainbow
7/16/2016,Rainbow,Rainbow
7/17/2016,Rainbow,Rainbow
7/18/2016,Rainbow,Rainbow
7/19/2016,Rainbow,Rainbow
7/20/2016,Rainbow,Rainbow
7/21/2016,Rainbow,Rainbow
7/22/2016,Rainbow,Rainbow
7/23/2016,Rainbow,Rainbow
7/24/2016,Rainbow,Rainbow
7/25/2016,Rainbow,Rainbow
7/26/2016,Rainbow,Rainbow
7/27/2016,Rainbow,Rainbow
7/28/2016,Rainbow,Rainbow
7/29/2016,Rainbow,Rainbow
7/30/2016,Rainbow,Rainbow
7/31/2016,Rainbow,Rainbow
8/1/2016,Rainbow,Rainbow
8/2/2016,Rainbow,Rainbow
8/3/2016,Rainbow,Rainbow
8/4/2016,Rainbow,Rainbow
8/5/2016,Rainbow,Rainbow
8/6/2016,Rainbow,Rainbow
8/7/2016,Rainbow,Rainbow
8/8/2016,Rainbow,Rainbow
8/9/2016,Rainbow,Rainbow
8/10/2016,Rainbow,Rainbow
8/11/2016,Rainbow,Rainbow
8/12/2016,Rainbow,Rainbow
8/13/2016,Rainbow,Rainbow
8/14/2016,Rainbow,Rainbow
8/15/2016,Rainbow,Rainbow
8/16/2016,Rainbow,Rainbow
8/17/2016,Rainbow,Rainbow
8/18/2016,Rainbow,Rainbow
8/19/2016,Rainbow,Rainbow
8/20/2016,Rainbow,Rainbow
8/21/2016,Rainbow,Rainbow
8/22/2016,Rainbow,Rainbow
8/23/2016,Rainbow,Rainbow
8/24/2016,Rainbow,Rainbow
8/25/2016,Rainbow,Rainbow
8/26/2016,Rainbow,Rainbow
8/27/2016,Rainbow,Rainbow
8/28/2016,Rainbow,Rainbow
8/29/2016,Rainbow,Rainbow
8/30/2016,Rainbow,Rainbow
8/31/2016,Rainbow,Rainbow
9/1/2016,Rainbow,Rainbow
9/2/2016,Rainbow,Rainbow
9/3/2016,Rainbow,Rainbow
9/4/2016,Rainbow,Rainbow
9/5/2016,Rainbow,Rainbow
9/6/2016,Rainbow,Rainbow
9/7/2016,Rainbow,Rainbow
9/8/2016,Rainbow,Rainbow
9/9/2016,Rainbow,Rainbow
9/10/2016,Rainbow,Rainbow
9/11/2016,Rainbow,Rainbow
9/12/2016,Rainbow,Rainbow
9/13/2016,Rainbow,Rainbow
9/14/2016,Rainbow,Rainbow
9/15/2016,Rainbow,Rainbow
9/16/2016,Rainbow,Rainbow
9/17/2016,Rainbow,Rainbow
9/18/2016,Rainbow,Rainbow
9/19/2016,Rainbow,Rainbow
9/20/2016,Rainbow,Rainbow
9/21/2016,Rainbow,Rainbow
9/22/2016,Rainbow,Rainbow
9/23/2016,Rainbow,Rainbow
9/24/2016,Rainbow,Rainbow
9/25/2016,Rainbow,Rainbow
9/26/2016,Rainbow,Rainbow
9/27/2016,Rainbow,Rainbow
9/28/2016,Rainbow,Rainbow
9/29/2016,Rainbow,Rainbow
9/30/2016,Rainbow,Rainbow
5/1/2016,Howard,Howard
5/2/2016,Howard,Howard
5/3/2016,Howard,Howard
5/4/2016,Howard,Howard
5/5/2016,Howard,Howard
5/6/2016,Howard,Howard
5/7/2016,Howard,Howard
5/8/2016,Howard,Howard
5/9/2016,Howard,Howard
5/10/2016,Howard,Howard
5/11/2016,Howard,Howard
5/12/2016,Howard,Howard
5/13/2016,Howard,Howard
5/14/2016,Howard,Howard
5/15/2016,Howard,Howard
5/16/2016,Howard,Howard
5/17/2016,Howard,Howard
5/18/2016,Howard,Howard
5/19/2016,Howard,Howard
5/20/2016,Howard,Howard
5/21/2016,Howard,Howard
5/22/2016,Howard,Howard
5/23/2016,Howard,Howard
5/24/2016,Howard,Howard
5/25/2016,Howard,Howard
5/26/2016,Howard,Howard
5/27/2016,Howard,Howard
5/28/2016,Howard,Howard
5/29/2016,Howard,Howard
5/30/2016,Howard,Howard
5/31/2016,Howard,Howard
6/1/2016,Howard,Howard
6/2/2016,Howard,Howard
6/3/2016,Howard,Howard
6/4/2016,Howard,Howard
6/5/2016,Howard,Howard
6/6/2016,Howard,Howard
6/7/2016,Howard,Howard
6/8/2016,Howard,Howard
6/9/2016,Howard,Howard
6/10/2016,Howard,Howard
6/11/2016,Howard,Howard
6/12/2016,Howard,Howard
6/13/2016,Howard,Howard
6/14/2016,Howard,Howard
6/15/2016,Howard,Howard
6/16/2016,Howard,Howard
6/17/2016,Howard,Howard
6/18/2016,Howard,Howard
6/19/2016,Howard,Howard
6/20/2016,Howard,Howard
6/21/2016,Howard,Howard
6/22/2016,Howard,Howard
6/23/2016,Howard,Howard
6/24/2016,Howard,Howard
6/25/2016,Howard,Howard
6/26/2016,Howard,Howard
6/27/2016,Howard,Howard
6/28/2016,Howard,Howard
6/29/2016,Howard,Howard
6/30/2016,Howard,Howard
7/1/2016,Howard,Howard
7/2/2016,Howard,Howard
7/3/2016,Howard,Howard
7/4/2016,Howard,Howard
7/5/2016,Howard,Howard
7/6/2016,Howard,Howard
7/7/2016,Howard,Howard
7/8/2016,Howard,Howard
7/9/2016,Howard,Howard
7/10/2016,Howard,Howard
7/11/2016,Howard,Howard
7/12/2016,Howard,Howard
7/13/2016,Howard,Howard
7/14/2016,Howard,Howard
7/15/2016,Howard,Howard
7/16/2016,Howard,Howard
7/17/2016,Howard,Howard
7/18/2016,Howard,Howard
7/19/2016,Howard,Howard
7/20/2016,Howard,Howard
7/21/2016,Howard,Howard
7/22/2016,Howard,Howard
7/23/2016,Howard,Howard
7/24/2016,Howard,Howard
7/25/2016,Howard,Howard
7/26/2016,Howard,Howard
7/27/2016,Howard,Howard
7/28/2016,Howard,Howard
7/29/2016,Howard,Howard
7/30/2016,Howard,Howard
7/31/2016,Howard,Howard
8/1/2016,Howard,Howard
8/2/2016,Howard,Howard
8/3/2016,Howard,Howard
8/4/2016,Howard,Howard
8/5/2016,Howard,Howard
8/6/2016,Howard,Howard
8/7/2016,Howard,Howard
8/8/2016,Howard,Howard
8/9/2016,Howard,Howard
8/10/2016,Howard,Howard
8/11/2016,Howard,Howard
8/12/2016,Howard,Howard
8/13/2016,Howard,Howard
8/14/2016,Howard,Howard
8/15/2016,Howard,Howard
8/16/2016,Howard,Howard
8/17/2016,Howard,Howard
8/18/2016,Howard,Howard
8/19/2016,Howard,Howard
8/20/2016,Howard,Howard
8/21/2016,Howard,Howard
8/22/2016,Howard,Howard
8/23/2016,Howard,Howard
8/24/2016,Howard,Howard
8/25/2016,Howard,Howard
8/26/2016,Howard,Howard
8/27/2016,Howard,Howard
8/28/2016,Howard,Howard
8/29/2016,Howard,Howard
8/30/2016,Howard,Howard
8/31/2016,Howard,Howard
9/1/2016,Howard,Howard
9/2/2016,Howard,Howard
9/3/2016,Howard,Howard
9/4/2016,Howard,Howard
9/5/2016,Howard,Howard
9/6/2016,Howard,Howard
9/7/2016,Howard,Howard
9/8/2016,Howard,Howard
9/9/2016,Howard,Howard
9/10/2016,Howard,Howard
9/11/2016,Howard,Howard
9/12/2016,Howard,Howard
9/13/2016,Howard,Howard
9/14/2016,Howard,Howard
9/15/2016,Howard,Howard
9/16/2016,Howard,Howard
9/17/2016,Howard,Howard
9/18/2016,Howard,Howard
9/19/2016,Howard,Howard
9/20/2016,Howard,Howard
9/21/2016,Howard,Howard
9/22/2016,Howard,Howard
9/23/2016,Howard,Howard
9/24/2016,Howard,Howard
9/25/2016,Howard,Howard
9/26/2016,Howard,Howard
9/27/2016,Howard,Howard
9/28/2016,Howard,Howard
9/29/2016,Howard,Howard
9/30/2016,Howard,Howard
5/1/2016,Juneway,Juneway
5/2/2016,Juneway,Juneway
5/3/2016,Juneway,Juneway
5/4/2016,Juneway,Juneway
5/5/2016,Juneway,Juneway
5/6/2016,Juneway,Juneway
5/7/2016,Juneway,Juneway
5/8/2016,Juneway,Juneway
5/9/2016,Juneway,Juneway
5/10/2016,Juneway,Juneway
5/11/2016,Juneway,Juneway
5/12/2016,Juneway,Juneway
5/13/2016,Juneway,Juneway
5/14/2016,Juneway,Juneway
5/15/2016,Juneway,Juneway
5/16/2016,Juneway,Juneway
5/17/2016,Juneway,Juneway
5/18/2016,Juneway,Juneway
5/19/2016,Juneway,Juneway
5/20/2016,Juneway,Juneway
5/21/2016,Juneway,Juneway
5/22/2016,Juneway,Juneway
5/23/2016,Juneway,Juneway
5/24/2016,Juneway,Juneway
5/25/2016,Juneway,Juneway
5/26/2016,Juneway,Juneway
5/27/2016,Juneway,Juneway
5/28/2016,Juneway,Juneway
5/29/2016,Juneway,Juneway
5/30/2016,Juneway,Juneway
5/31/2016,Juneway,Juneway
6/1/2016,Juneway,Juneway
6/2/2016,Juneway,Juneway
6/3/2016,Juneway,Juneway
6/4/2016,Juneway,Juneway
6/5/2016,Juneway,Juneway
6/6/2016,Juneway,Juneway
6/7/2016,Juneway,Juneway
6/8/2016,Juneway,Juneway
6/9/2016,Juneway,Juneway
6/10/2016,Juneway,Juneway
6/11/2016,Juneway,Juneway
6/12/2016,Juneway,Juneway
6/13/2016,Juneway,Juneway
6/14/2016,Juneway,Juneway
6/15/2016,Juneway,Juneway
6/16/2016,Juneway,Juneway
6/17/2016,Juneway,Juneway
6/18/2016,Juneway,Juneway
6/19/2016,Juneway,Juneway
6/20/2016,Juneway,Juneway
6/21/2016,Juneway,Juneway
6/22/2016,Juneway,Juneway
6/23/2016,Juneway,Juneway
6/24/2016,Juneway,Juneway
6/25/2016,Juneway,Juneway
6/26/2016,Juneway,Juneway
